ModelID,ProfileID,ProfileType
ACH-000114,PR-cIskZW,dna
ACH-002247,PR-8EE2ka,dna
ACH-000154,PR-1jxOSO,rna
ACH-000154,PR-vW8e3y,dna
ACH-000117,PR-Twe0Mn,rna
ACH-000117,PR-RG9TgA,dna
ACH-000093,PR-PUM4OM,rna
ACH-000093,PR-0riUD0,dna
ACH-000823,PR-4rthc9,rna
ACH-000823,PR-Ru1ESx,dna
ACH-000757,PR-6hVuX7,rna
ACH-000757,PR-og81ZO,dna
ACH-000941,PR-8ALmei,rna
ACH-000941,PR-SmHH3N,dna
ACH-000484,PR-NL32EM,rna
ACH-000484,PR-vct1gT,dna
ACH-000271,PR-N67v1C,rna
ACH-000271,PR-9eJ7rS,dna
ACH-001670,PR-9n6z5S,rna
ACH-001670,PR-i4s165,dna
ACH-001328,PR-SbVRrq,rna
ACH-001328,PR-qCwKEA,dna
ACH-001695,PR-D1Ah7e,rna
ACH-001695,PR-hMA5Xe,dna
ACH-002994,PR-UC14U6,rna
ACH-002994,PR-LnyWEs,dna
ACH-001188,PR-91uSGU,rna
ACH-001188,PR-B8MLf4,dna
ACH-000655,PR-7nSGqD,rna
ACH-000655,PR-HvE8oO,dna
ACH-000139,PR-zMyZxq,rna
ACH-000139,PR-uyeqvA,dna
ACH-000508,PR-7aOBrs,rna
ACH-000508,PR-1ah9FQ,dna
ACH-000111,PR-nGkQDN,rna
ACH-000111,PR-bceThz,dna
ACH-002647,PR-Qi0kuT,rna
ACH-002647,PR-lsXdrW,dna
ACH-002038,PR-wgc6Rb,rna
ACH-002038,PR-wNBi2F,dna
ACH-000291,PR-rgeHwh,rna
ACH-000291,PR-LTIJeY,dna
ACH-002089,PR-WZtkzQ,dna
ACH-000118,PR-dJ1sOb,rna
ACH-000118,PR-ey4Yyh,dna
ACH-001981,PR-JPWthD,rna
ACH-001981,PR-DIFe3r,dna
ACH-001059,PR-7lDaBF,rna
ACH-001059,PR-tEpLCL,dna
ACH-002229,PR-tILCVb,dna
ACH-003471,PR-DjQTas,rna
ACH-003471,PR-4uNl0E,dna
ACH-000233,PR-z36vet,rna
ACH-000233,PR-bR1uy1,dna
ACH-001835,PR-vtvyQ4,rna
ACH-001835,PR-8nhMR6,dna
ACH-000151,PR-RMPZ9P,rna
ACH-000151,PR-rCsB4y,dna
ACH-002316,PR-DXR2Qg,dna
ACH-000618,PR-5JIUJb,rna
ACH-000618,PR-poHcHD,dna
ACH-002151,PR-IDcomg,dna
ACH-000380,PR-dHuyK6,rna
ACH-000380,PR-VfXZwU,dna
